District,Province,Total Population,Male,Female
Kigabiro,Western Province,47358,23159,24199
Kigali,City of Kigali,61499,32124,29375
Kigarama,City of Kigali,63153,32243,30910
Kigarama,Western Province,37136,17878,19258
Kigembe,Eastern Province,22488,10611,11877
Kigeyo,Northern Province,24308,11455,12853
Kigina,Western Province,34642,16666,17976
Kigoma,Eastern Province,66459,31786,34673
Kimihurura,City of Kigali,16425,8599,7826
Kimironko,City of Kigali,61733,31721,30012
Kimisagara,City of Kigali,56534,28905,27629
Kimonyi,Southern Province,21681,10114,11567
Kinazi,Eastern Province,84130,40165,43965
Kinigi,Southern Province,32297,15423,16874
Kinihira,Eastern Province,25932,12281,13651
Kinihira,Southern Province,17145,8082,9063
Kinoni,Southern Province,19017,9093,9924
Kintobo,Northern Province,15315,7153,8162
Kinyababa,Southern Province,23746,11281,12465
Kinyinya,City of Kigali,125400,63081,62319
Kiramuruzi,Western Province,40028,19099,20929
Kirehe,Western Province,490407,235760,254647
Kirimbi,Northern Province,25647,12092,13555
Kisaro,Southern Province,23113,11054,12059
Kitabi,Eastern Province,28172,13342,14830
Kivu,Eastern Province,19812,9536,10276
Kivumu,Northern Province,35027,16415,18612
Kivuruga,Southern Province,19967,9333,10634
Kivuye,Southern Province,18057,8609,9448
Kiyombe,Western Province,18801,8956,9845
Kiyumba,Eastern Province,23364,11009,12355
Kiziguro,Western Province,39757,18924,20833
Macuba,Northern Province,33319,15818,17501
Mageregere,City of Kigali,59747,34038,25709
Mahama,Western Province,81014,39579,41435
Mahembe,Northern Province,20043,9519,10524
Mamba,Eastern Province,45283,21896,23387
Manihira,Northern Province,19386,9235,10151
Manyagiro,Southern Province,22635,10933,11702
Maraba,Eastern Province,26807,12850,13957
Mareba,Western Province,29266,14127,15139
Masaka,City of Kigali,78788,38739,40049
Masoro,Southern Province,27311,13261,14050
Mata,Eastern Province,16117,7780,8337
Mataba,Southern Province,15520,7397,8123
Matimba,Western Province,28487,13771,14716
Matyazo,Northern Province,27673,12962,14711
